Path 1,lo0308_reg/QN,lo1102_reg/D,564.400
^,,1262,525.602,0.000,
v,DFFHQNx2_ASAP7_75t_R,4,2.893,73.000,73.000
^,INVx2_ASAP7_75t_R,2,1.466,90.200,17.200
v,NAND2x1p5_ASAP7_75t_R,3,1.821,103.300,13.100
^,NOR2x1p5_ASAP7_75t_R,4,2.452,121.200,17.900
v,NAND2x1p5_ASAP7_75t_R,2,1.213,135.100,13.900
^,INVx2_ASAP7_75t_R,2,1.400,145.900,10.800
v,NAND2x1p5_ASAP7_75t_R,3,1.860,157.400,11.500
^,NOR2x1p5_ASAP7_75t_R,3,2.933,177.400,20.000
v,INVx4_ASAP7_75t_R,2,1.764,190.100,12.700
^,NOR2x2_ASAP7_75t_R,4,2.537,204.700,14.600
^,AND2x4_ASAP7_75t_R,4,2.565,230.200,25.500
^,AND2x4_ASAP7_75t_R,3,2.467,252.400,22.200
v,NAND2x1p5_ASAP7_75t_R,3,1.256,262.400,10.000
v,OA21x2_ASAP7_75t_R,2,1.710,284.700,22.300
v,XNOR2xp5_ASAP7_75t_R,2,0.816,311.100,26.400
^,OAI22xp5_ASAP7_75t_R,1,0.385,326.700,15.600
v,O2A1O1Ixp33_ASAP7_75t_R,2,0.767,343.600,16.900
^,OAI21xp5_ASAP7_75t_R,1,0.406,360.100,16.500
v,A2O1A1Ixp33_ASAP7_75t_R,1,0.399,376.900,16.800
^,A2O1A1Ixp33_ASAP7_75t_R,2,1.947,414.900,38.000
v,NAND2x1p5_ASAP7_75t_R,2,1.661,436.400,21.500
^,NAND2x1p5_ASAP7_75t_R,2,1.394,452.100,15.700
v,OAI22x1_ASAP7_75t_R,1,1.105,469.800,17.700
^,NAND2x1p5_ASAP7_75t_R,4,2.811,490.000,20.200
^,AND2x2_ASAP7_75t_R,1,1.602,521.000,31.000
^,BUFx12f_ASAP7_75t_R,13,6.796,538.200,17.200
v,INVx2_ASAP7_75t_R,4,1.711,548.600,10.400
^,NOR2xp33_ASAP7_75t_R,1,0.477,564.400,15.800
^,DFFHQx4_ASAP7_75t_R,,0.477,564.400,0.000
Path 1,lo0308_reg/QN,lo1100_reg/D,564.200
^,,1262,525.602,0.000,
v,DFFHQNx2_ASAP7_75t_R,4,2.893,73.000,73.000
^,INVx2_ASAP7_75t_R,2,1.466,90.200,17.200
v,NAND2x1p5_ASAP7_75t_R,3,1.821,103.300,13.100
^,NOR2x1p5_ASAP7_75t_R,4,2.452,121.200,17.900
v,NAND2x1p5_ASAP7_75t_R,2,1.213,135.100,13.900
^,INVx2_ASAP7_75t_R,2,1.400,145.900,10.800
v,NAND2x1p5_ASAP7_75t_R,3,1.860,157.400,11.500
^,NOR2x1p5_ASAP7_75t_R,3,2.933,177.400,20.000
v,INVx4_ASAP7_75t_R,2,1.764,190.100,12.700
^,NOR2x2_ASAP7_75t_R,4,2.537,204.700,14.600
^,AND2x4_ASAP7_75t_R,4,2.565,230.200,25.500
^,AND2x4_ASAP7_75t_R,3,2.467,252.400,22.200
v,NAND2x1p5_ASAP7_75t_R,3,1.256,262.400,10.000
v,OA21x2_ASAP7_75t_R,2,1.710,284.700,22.300
v,XNOR2xp5_ASAP7_75t_R,2,0.816,311.100,26.400
^,OAI22xp5_ASAP7_75t_R,1,0.385,326.700,15.600
v,O2A1O1Ixp33_ASAP7_75t_R,2,0.767,343.600,16.900
^,OAI21xp5_ASAP7_75t_R,1,0.406,360.100,16.500
v,A2O1A1Ixp33_ASAP7_75t_R,1,0.399,376.900,16.800
^,A2O1A1Ixp33_ASAP7_75t_R,2,1.947,414.900,38.000
v,NAND2x1p5_ASAP7_75t_R,2,1.661,436.400,21.500
^,NAND2x1p5_ASAP7_75t_R,2,1.394,452.100,15.700
v,OAI22x1_ASAP7_75t_R,1,1.105,469.800,17.700
^,NAND2x1p5_ASAP7_75t_R,4,2.811,490.000,20.200
^,AND2x2_ASAP7_75t_R,1,1.602,521.000,31.000
^,BUFx12f_ASAP7_75t_R,13,6.796,538.200,17.200
v,INVx2_ASAP7_75t_R,4,1.711,548.600,10.400
^,NOR2xp33_ASAP7_75t_R,1,0.468,564.200,15.600
^,DFFHQx4_ASAP7_75t_R,,0.468,564.200,0.000
Path 1,lo0308_reg/QN,lo1194_reg/D,562.600
^,,1262,525.602,0.000,
v,DFFHQNx2_ASAP7_75t_R,4,2.893,73.000,73.000
